response_id	response_raw	response_no	response_separate	group_validation
25	Pre-registration has smoothed my workflow by forcing me to plan my research to a much finer degree than before. Regarding data analysis, the planning stage has also facilitated a habit of data simulation, so I can pre-register my R code. This is incredibly valuable. Regarding data management, it has made no obvious impact. I believe the quality of my research has been greatly enhanced. I find holding myself accountable very valuable. I also find it incredibly useful to protect my work against post-hoc reviewers (#notallreviewers, of course), but there's always some who tell me (and my colleagues) that the hypotheses don't match the data. A pre-reg document is useful in that situation. (However, I am happy to yield to superior analyses if suggested by a reviewer, with full declaration, of course). I've also found it useful to have my junior colleagues in ... less ideal labs ... to pre-register their projects, to avoid old-school researchers asking them to be selective in their reporting, or to make claims (wilfully, or forgetfully) about certain hypotheses or planned analyses.	03	I believe the quality of my research has been greatly enhanced. I find holding myself accountable very valuable. I also find it incredibly useful to protect my work against post-hoc reviewers (#notallreviewers, of course), but there's always some who tell me (and my colleagues) that the hypotheses don't match the data. A pre-reg document is useful in that situation. (However, I am happy to yield to superior analyses if suggested by a reviewer, with full declaration, of course). I've also found it useful to have my junior colleagues in ... less ideal labs ... to pre-register their projects, to avoid old-school researchers asking them to be selective in their reporting, or to make claims (wilfully, or forgetfully) about certain hypotheses or planned analyses.	NA
26	I enjoyed pre-registering my last study. Pre-registering the project shaped the research process. It took a little more work upfront. While it is typical to lay out hypotheses before conducting any experiment, it was more clear cut and spelled out with pre-registration. Data management was similar--it's an extra step to upload the data to OSF but that's about it. Overall, I think pre-registering a study purifies the research process. The research is laid out and there's less room for subjectivity and bias.	01	Pre-registering the project shaped the research process. It took a little more work upfront. While it is typical to lay out hypotheses before conducting any experiment, it was more clear cut and spelled out with pre-registration.	NA
26	I enjoyed pre-registering my last study. Pre-registering the project shaped the research process. It took a little more work upfront. While it is typical to lay out hypotheses before conducting any experiment, it was more clear cut and spelled out with pre-registration. Data management was similar--it's an extra step to upload the data to OSF but that's about it. Overall, I think pre-registering a study purifies the research process. The research is laid out and there's less room for subjectivity and bias.	02	Data management was similar--it's an extra step to upload the data to OSF but that's about it.	NA
26	I enjoyed pre-registering my last study. Pre-registering the project shaped the research process. It took a little more work upfront. While it is typical to lay out hypotheses before conducting any experiment, it was more clear cut and spelled out with pre-registration. Data management was similar--it's an extra step to upload the data to OSF but that's about it. Overall, I think pre-registering a study purifies the research process. The research is laid out and there's less room for subjectivity and bias.	03	Overall, I think pre-registering a study purifies the research process. The research is laid out and there's less room for subjectivity and bias.	NA
27	starting preregistrations (about 4 years ago) has been truly a life-changing moment for me as a scientist. Preregistration motivates me to think more about my research before I do it, which means that I usually come up with higher-quality materials and designs before I run my experiments. I spend more time now preparing the research and much less time analyzing the data and publishing studies. This is a more meaningful use of my time. I also feel more certain regarding the results of my studies and I am no longer stressed about whether my results are positive or not. To sum up, preregistration helped me to re-focus my attention on things that I can change and where I can be truly creative (preparation stage) and helped me to avoid the stress when facing the results of my research and the publication process. Also, my workflow seems to be more straightforward now: idea -> preregistration -> results ->very quick analysis -> publish/ resubmit but certainly not revise the paper from scratch	01	Preregistration motivates me to think more about my research before I do it, which means that I usually come up with higher-quality materials and designs before I run my experiments.	NA
27	starting preregistrations (about 4 years ago) has been truly a life-changing moment for me as a scientist. Preregistration motivates me to think more about my research before I do it, which means that I usually come up with higher-quality materials and designs before I run my experiments. I spend more time now preparing the research and much less time analyzing the data and publishing studies. This is a more meaningful use of my time. I also feel more certain regarding the results of my studies and I am no longer stressed about whether my results are positive or not. To sum up, preregistration helped me to re-focus my attention on things that I can change and where I can be truly creative (preparation stage) and helped me to avoid the stress when facing the results of my research and the publication process. Also, my workflow seems to be more straightforward now: idea -> preregistration -> results ->very quick analysis -> publish/ resubmit but certainly not revise the paper from scratch	02	I spend more time now preparing the research and much less time analyzing the data and publishing studies. This is a more meaningful use of my time.	NA
27	starting preregistrations (about 4 years ago) has been truly a life-changing moment for me as a scientist. Preregistration motivates me to think more about my research before I do it, which means that I usually come up with higher-quality materials and designs before I run my experiments. I spend more time now preparing the research and much less time analyzing the data and publishing studies. This is a more meaningful use of my time. I also feel more certain regarding the results of my studies and I am no longer stressed about whether my results are positive or not. To sum up, preregistration helped me to re-focus my attention on things that I can change and where I can be truly creative (preparation stage) and helped me to avoid the stress when facing the results of my research and the publication process. Also, my workflow seems to be more straightforward now: idea -> preregistration -> results ->very quick analysis -> publish/ resubmit but certainly not revise the paper from scratch	03	I also feel more certain regarding the results of my studies and I am no longer stressed about whether my results are positive or not.	NA
27	starting preregistrations (about 4 years ago) has been truly a life-changing moment for me as a scientist. Preregistration motivates me to think more about my research before I do it, which means that I usually come up with higher-quality materials and designs before I run my experiments. I spend more time now preparing the research and much less time analyzing the data and publishing studies. This is a more meaningful use of my time. I also feel more certain regarding the results of my studies and I am no longer stressed about whether my results are positive or not. To sum up, preregistration helped me to re-focus my attention on things that I can change and where I can be truly creative (preparation stage) and helped me to avoid the stress when facing the results of my research and the publication process. Also, my workflow seems to be more straightforward now: idea -> preregistration -> results ->very quick analysis -> publish/ resubmit but certainly not revise the paper from scratch	04	To sum up, preregistration helped me to re-focus my attention on things that I can change and where I can be truly creative (preparation stage) and helped me to avoid the stress when facing the results of my research and the publication process.	NA
27	starting preregistrations (about 4 years ago) has been truly a life-changing moment for me as a scientist. Preregistration motivates me to think more about my research before I do it, which means that I usually come up with higher-quality materials and designs before I run my experiments. I spend more time now preparing the research and much less time analyzing the data and publishing studies. This is a more meaningful use of my time. I also feel more certain regarding the results of my studies and I am no longer stressed about whether my results are positive or not. To sum up, preregistration helped me to re-focus my attention on things that I can change and where I can be truly creative (preparation stage) and helped me to avoid the stress when facing the results of my research and the publication process. Also, my workflow seems to be more straightforward now: idea -> preregistration -> results ->very quick analysis -> publish/ resubmit but certainly not revise the paper from scratch	05	Also, my workflow seems to be more straightforward now: idea -> preregistration -> results ->very quick analysis -> publish/ resubmit but certainly not revise the paper from scratch	NA
28	I try to preregister confirmatory studies that will end up in a paper. As a result, my preregistered vs. non-preregistered studies differ quite a bit because they are achieving different goals. My non-preregistered studies are typically exploratory in order to get a sense of whether a research question is interesting and how to go about testing it, while my preregistered studies are about ensuring that the effect is real. As a result, the workflow for the preregistered studies is generally simpler and clearer, and the data management is more careful (e.g., the R code is cleaner). The quality of the study design I don't think differs, but I do have more confidence that any results I find are more likely to be true.	01	As a result, the workflow for the preregistered studies is generally simpler and clearer,	NA
